pattern_id,route_id,route_short_name,stop_id,stop_sequence,stop_name,stop_lat,stop_lon
d6cd5c56f1341fdf,12650,62,155776,0,Ostbahnhof,48.128296,11.604329
d6cd5c56f1341fdf,12650,62,601878,1,Orleansstraße,48.1251,11.599002
d6cd5c56f1341fdf,12650,62,287923,2,Auerfeldstraße,48.123833,11.596478
d6cd5c56f1341fdf,12650,62,119565,3,Schwester-Eubulina-Platz,48.12352,11.593136
d6cd5c56f1341fdf,12650,62,182242,4,Regerplatz,48.124607,11.589381
d6cd5c56f1341fdf,12650,62,441706,5,Schweigerstraße,48.126842,11.58303
d6cd5c56f1341fdf,12650,62,153767,6,Baaderstraße,48.13007,11.57844
d6cd5c56f1341fdf,12650,62,574283,7,Gärtnerplatztheater,48.132168,11.575466
d6cd5c56f1341fdf,12650,62,577469,8,Blumenstraße,48.13328,11.574002
d6cd5c56f1341fdf,12650,62,54116,9,Sendlinger Tor,48.133175,11.565675
d6cd5c56f1341fdf,12650,62,165392,10,Maistraße,48.12939,11.562126
d6cd5c56f1341fdf,12650,62,603566,11,Waltherstraße,48.127567,11.563752
d6cd5c56f1341fdf,12650,62,277853,12,Kapuzinerstraße,48.12492,11.561569
d6cd5c56f1341fdf,12650,62,154976,13,Zenettistraße,48.12244,11.558919
d6cd5c56f1341fdf,12650,62,17157,14,Ehrengutstraße,48.12137,11.55723
d6cd5c56f1341fdf,12650,62,171358,15,Lagerhausstraße,48.120426,11.55556
d6cd5c56f1341fdf,12650,62,136662,16,Tumblingerstraße,48.123363,11.553727
d6cd5c56f1341fdf,12650,62,328085,17,Poccistraße,48.12577,11.548777
d6cd5c56f1341fdf,12650,62,534036,18,Hans-Fischer-Straße,48.12746,11.544555
d6cd5c56f1341fdf,12650,62,633953,19,Herzog-Ernst-Platz,48.125492,11.541043
d6cd5c56f1341fdf,12650,62,635707,20,Baumgartnerstraße,48.126682,11.535761
d6cd5c56f1341fdf,12650,62,210991,21,Hansapark,48.128384,11.534656
d6cd5c56f1341fdf,12650,62,236354,22,Hansastraße,48.13113,11.531116
d6cd5c56f1341fdf,12650,62,666601,23,Heimeranplatz,48.1339,11.532796
d6cd5c56f1341fdf,12650,62,424862,24,Astallerstraße,48.135483,11.530649
d6cd5c56f1341fdf,12650,62,356376,25,Elsenheimerstraße,48.136047,11.524217
d6cd5c56f1341fdf,12650,62,611125,26,Hauzenberger Straße,48.137714,11.521918
d6cd5c56f1341fdf,12650,62,343240,27,Lautensackstraße,48.13965,11.519268
d6cd5c56f1341fdf,12650,62,486575,28,Hirschgarten,48.143616,11.519645
d6cd5c56f1341fdf,12650,62,472296,29,Wilhelm-Hale-Straße,48.146896,11.520444
d6cd5c56f1341fdf,12650,62,111675,30,Steubenplatz,48.149982,11.520849
d6cd5c56f1341fdf,12650,62,425855,31,Dankwartstraße,48.151306,11.523669
d6cd5c56f1341fdf,12650,62,50501,32,Winthirplatz,48.151882,11.528116
d6cd5c56f1341fdf,12650,62,302046,33,Rotkreuzplatz,48.15266,11.533766
e5d4eb50b8a2ac60,12650,62,509866,0,Rotkreuzplatz,48.152843,11.533982
e5d4eb50b8a2ac60,12650,62,609782,1,Rotkreuzplatz,48.15298,11.53267
e5d4eb50b8a2ac60,12650,62,558535,2,Winthirplatz,48.151974,11.527891
e5d4eb50b8a2ac60,12650,62,602345,3,Dankwartstraße,48.151432,11.523714
e5d4eb50b8a2ac60,12650,62,213886,4,Steubenplatz,48.150257,11.519744
e5d4eb50b8a2ac60,12650,62,310821,5,Wilhelm-Hale-Straße,48.146233,11.520175
e5d4eb50b8a2ac60,12650,62,329944,6,Hirschgarten,48.143383,11.519295
e5d4eb50b8a2ac60,12650,62,533253,7,Lautensackstraße,48.13974,11.518845
e5d4eb50b8a2ac60,12650,62,570397,8,Hauzenberger Straße,48.137264,11.522214
e5d4eb50b8a2ac60,12650,62,593625,9,Elsenheimerstraße,48.136154,11.523759
e5d4eb50b8a2ac60,12650,62,494137,10,Astallerstraße,48.135586,11.530335
e5d4eb50b8a2ac60,12650,62,666347,11,Heimeranplatz,48.133167,11.532895
e5d4eb50b8a2ac60,12650,62,501772,12,Hansastraße,48.130814,11.531134
e5d4eb50b8a2ac60,12650,62,669942,13,Hansapark,48.128277,11.534314
e5d4eb50b8a2ac60,12650,62,651331,14,Baumgartnerstraße,48.125732,11.536165
e5d4eb50b8a2ac60,12650,62,221162,15,Herzog-Ernst-Platz,48.125256,11.541213
e5d4eb50b8a2ac60,12650,62,116244,16,Hans-Fischer-Straße,48.12742,11.544932
e5d4eb50b8a2ac60,12650,62,75795,17,Poccistraße,48.125538,11.548831
e5d4eb50b8a2ac60,12650,62,223996,18,Tumblingerstraße,48.12309,11.55405
