route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,100,106,3,12965,,
,100,111,3,7195,,
,100,13,3,19274,,
,100,151,3,12599,,
,100,190,3,20459,,
,100,192,3,10125,,
,100,22,3,14717,,
,100,232,3,67,,
,100,238,3,22250,,
,100,257,3,17063,,
,100,274,3,1956,,
,100,278,3,20509,,
,100,288,3,2534,,
,100,334,3,21977,,
,100,349,3,13815,,
,100,350,3,16534,,
,100,354,3,56,,
,100,378,3,8266,,
,100,384,3,16170,,
,100,41,3,9855,,
,100,58,3,7194,,
,100,62,3,1440,,
,100,80,3,16238,,
,100,91,3,407,,
,100,95,3,16937,,
,130,117,3,17437,,
,130,132,3,9440,,
,130,181,3,11218,,
,130,199,3,508,,
,130,219,3,20907,,
,130,22,3,19340,,
,130,220,3,1898,,
,130,240,3,1368,,
,130,257,3,1256,,
,130,274,3,11739,,
,130,280,3,14987,,
,130,322,3,3380,,
,130,329,3,5208,,
,130,334,3,119,,
,130,344,3,4734,,
,130,350,3,1706,,
,130,354,3,19820,,
,130,370,3,20281,,
,130,384,3,11508,,
,130,58,3,14039,,
,130,78,3,3302,,
,130,80,3,11137,,
,130,82,3,14178,,
,130,95,3,14032,,
,131,117,3,14157,,
,131,130,3,5348,,
,131,132,3,5250,,
,131,140,3,21824,,
,131,181,3,14513,,
,131,199,3,3540,,
,131,214,3,5507,,
,131,218,3,21700,,
,131,219,3,6660,,
,131,220,3,2728,,
,131,238,3,9078,,
,131,251,3,5745,,
,131,257,3,3386,,
,131,274,3,18314,,
,131,280,3,13351,,
,131,314,3,11954,,
,131,322,3,2399,,
,131,327,3,7507,,
,131,335,3,7562,,
,131,344,3,16516,,
,131,368,3,13489,,
,131,373,3,4298,,
,131,374,3,7039,,
,131,384,3,1866,,
,131,78,3,1381,,
,131,80,3,4527,,
,131,82,3,16341,,
,131,95,3,6301,,
,132,101,3,11380,,
,132,180,3,17006,,
,132,181,3,23725,,
,132,214,3,3229,,
,132,218,3,12102,,
,132,219,3,21841,,
,132,238,3,17397,,
,132,251,3,22676,,
,132,257,3,3632,,
,132,260,3,6932,57B006,FFFFFF
,132,280,3,14917,,
,132,299,3,11007,,
,132,327,3,9617,,
,132,329,3,19137,,
,132,335,3,17763,,
,132,344,3,7464,,
