trip_id,stop_id,stop_sequence
1002478,122366,0
1002478,558336,1
1002478,321643,2
1002478,82633,3
1002478,208066,4
1002478,418217,5
1002478,652613,6
1002478,444060,7
1002478,174853,8
1002478,38349,9
1002478,529410,10
1002478,396307,11
1002478,29808,12
1002478,426778,13
1002478,535014,14
1002478,18649,15
1002478,361570,16
1002478,386320,17
1002478,294579,18
1002478,583705,19
1002478,160843,20
1002478,296865,21
1002478,634877,22
1002478,420541,23
1002478,602070,24
1002478,215926,25
1002478,236565,26
1002478,277163,27
1002478,412700,28
1002478,399768,29
1002478,210872,30
1002478,511257,31
1002478,678009,32
1002478,401447,33
1002478,63941,34
1005474,546683,0
1005474,499391,1
1005474,621041,2
1005474,247790,3
1005474,533739,4
1005474,582513,5
1005474,621945,6
1005474,212681,7
1005474,194070,8
1005474,215926,9
1005474,667084,10
1005474,112872,11
1005474,312521,12
1005474,139902,13
1005474,97530,14
1005474,335463,15
1005474,409875,16
1005474,524375,17
1005474,218138,18
1005474,637441,19
1005474,539010,20
1005474,275114,21
1005474,313272,22
1005474,286826,23
1005474,50068,24
1005474,264692,25
1005474,607303,26
1005474,592404,27
1005474,16975,28
1005474,417110,29
1005474,66008,30
1005474,193969,31
1005474,439967,32
1005474,26820,33
1005474,122366,34
1008910,546683,0
1008910,499391,1
1008910,621041,2
1008910,247790,3
1008910,533739,4
1008910,582513,5
1008910,621945,6
1008910,212681,7
1008910,194070,8
1008910,215926,9
1008910,667084,10
1008910,112872,11
1008910,312521,12
1008910,139902,13
1008910,97530,14
1008910,335463,15
1008910,409875,16
1008910,524375,17
1008910,218138,18
1008910,637441,19
1008910,539010,20
1008910,275114,21
1008910,313272,22
1008910,286826,23
1008910,50068,24
1008910,264692,25
1008910,607303,26
1008910,592404,27
1008910,16975,28
1008910,417110,29
1008910,66008,30
1008910,193969,31
1008910,439967,32
1008910,26820,33
1008910,122366,34
1012159,122366,0
1012159,558336,1
1012159,321643,2
1012159,82633,3
1012159,208066,4
1012159,418217,5
1012159,652613,6
1012159,444060,7
1012159,174853,8
1012159,38349,9
1012159,529410,10
1012159,396307,11
1012159,29808,12
1012159,426778,13
1012159,535014,14
1012159,18649,15
1012159,361570,16
1012159,386320,17
1012159,294579,18
1012159,583705,19
